"BÁO CÁO PHÂN TÍCH THỨ HẠNG HR2B — FILE 1/3: TỔNG QUAN, CHỦ ĐỀ, NHÓM TỪ KHÓA"
Mốc 18/09/2026 · đối chiếu tới 01/08/2026 · 109 từ khóa · 3 chủ đề · 41 nhóm
"Cột ""lúc cao nhất"" = mức tốt nhất đạt được trong 11 mốc đo tin cậy (đã loại 27/8 và 28/8 vì công cụ quét lỗi)"

KẾT LUẬN
Ngày tụt thật sự KHÔNG phải 18/9,Cú tụt xảy ra khoảng 29/8 đến 11/9: từ khóa top 10 rơi từ 55 xuống 44; số ô top 10 HR2B chiếm trên SERP rơi từ 69 xuống 58. Từ 11/9 tới 18/9 đi ngang (44 xuống 43).
So với lúc đỉnh cao nhất,"Đỉnh top 10 là 62 từ khóa ngày 21/8. Hôm nay còn 43 - mất 19 từ khóa, tức mất 31% so với lúc cao nhất. Số ô top 10 trên SERP: đỉnh 76 ô ngày 21/8, nay còn 59 - mất 17 ô."
"Mình tụt, không phải thị trường tụt","Trong cửa sổ 29/8-11/9, HR2B là site DUY NHẤT mất nhiều ô top 10 (-11). Cùng lúc: LinkedIn +9, joblinks.vn +5, manpower.com.vn +5, easyhrm.vn +5, Facebook +4, hrchannels +4, talentnetgroup +3. Tính từ đỉnh riêng của từng bên, HR2B mất -17 ô, nặng nhất bảng."
Cụm bị đánh nặng nhất,"Cụm ""Nhân sự - tư vấn & dịch vụ nhân sự"" bay khỏi bảng gần như trọn cụm: tư vấn nhân sự (vol 260), dịch vụ nhân sự (210), công ty tư vấn nhân sự, dịch vụ tư vấn nhân sự, công ty dịch vụ nhân sự, công ty cung cấp dịch vụ nhân sự. Cụm tiếng Anh outsource recruitment cũng mất sạch. Tụt theo CỤM TRANG, không phải toàn site."
Manh mối kỹ thuật khớp số liệu,"KHÔNG một trang dịch vụ nào (/vi/dich-vu/...) nằm trong sitemap, kể cả trang chủ tiếng Việt /vi/. Đó là 17 từ khóa đang nhắm vào những trang Google không được mời vào. Sitemap chỉ khai /vi/trang-chu/ - địa chỉ này lại chuyển hướng 301."
1. Do mình hay do thị trường?,"DO MÌNH. Thị trường xáo trộn hằng ngày (trung bình 6,8 vị trí đổi chủ trong top 10 mỗi ngày) nhưng không làm ai khác mất nhiều như mình."
2. Ai lên top mà mình không có?,"NHIỀU bên cùng lên. Mạnh nhất so 20/8: aniday.com +8 từ khóa, facebook.com +5, easyhrm.vn +5, joblinks.vn +5, ckhrconsulting.com +4, vietanlaw.com +4 (từ 0). Facebook và LinkedIn cùng lên mạnh - dấu hiệu Google ưu ái nội dung có thảo luận thật."
3. Nên đợi hay nên sửa?,"SỬA, không đợi. Từ 11/9 tới 18/9 (7 ngày) thứ hạng đi ngang, không tự hồi. Và có nguyên nhân kỹ thuật rõ ràng chưa xử lý."

SỐ LIỆU CHÍNH,1/8,20/8,29/8,11/9,17/9,18/9,LÚC CAO NHẤT,NGÀY CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT
Từ khóa có thứ hạng,91,93,92,98,85,82,98,11/09,-16
Top 3,30,25,27,24,23,22,30,21/08,-8
Top 5,44,36,35,27,27,25,44,01/08,-19
Top 10,58,57,55,44,47,43,62,21/08,-19
Top 20,81,77,77,77,73,68,81,01/08,-13
Top 30,85,90,86,91,79,78,91,11/09,-13
Không vào top (càng thấp càng tốt),18,16,17,11,24,27,11,11/09,16
Vị trí trung bình (càng thấp càng tốt),9.45,10.72,11.14,12.84,11.25,11.63,9.4,21/08,2.23

TỔNG QUAN TỪNG NGÀY,Có thứ hạng,Không vào top,Top 3,Top 5,Top 10,Top 20,Top 30,Vị trí TB,Ghi chú
18/09,82,27,22,25,43,68,78,11.63,
17/09,85,24,23,27,47,73,79,11.25,
16/09,82,27,19,25,43,70,78,11.78,
14/09,97,12,25,31,51,79,90,12.13,
11/09,98,11,24,27,44,77,91,12.84,
29/08,92,17,27,35,55,77,86,11.14,
28/08,47,62,15,17,30,43,45,9.62,Quét lỗi - không dùng
27/08,2,107,0,0,0,0,2,28.5,Quét lỗi - không dùng
21/08,90,19,30,40,62,78,86,9.4,<< ĐỈNH Top 10
20/08,93,16,25,36,57,77,90,10.72,
12/08,95,14,25,36,58,79,89,10.8,
09/08,93,16,23,34,57,79,87,10.65,
01/08,91,18,30,44,58,81,85,9.45,

THEO CHỦ ĐỀ,Số key,Top10 1/8,Top10 20/8,Top10 29/8,Top10 17/9,Top10 18/9,TOP10 LÚC CAO NHẤT,NGÀY CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT,% còn lại so với đỉnh,VT TB 18/9,Tụt mạnh,Tụt nhẹ,Tăng,Rớt bảng
Headhunter,25,10,9,8,9,6,11,09/08,-5,55%,15.2,3,3,4,5
Nhân sự,79,43,43,42,33,32,49,21/08,-17,65%,11.32,4,7,9,17
Thương hiệu,5,5,5,5,5,5,5,18/09,0,100%,1.0,0,0,0,0

THEO NHÓM TỪ KHÓA,Số key,Top10 1/8,Top10 20/8,Top10 18/9,TOP10 LÚC CAO NHẤT,NGÀY CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT,VT TB 18/9,Tụt mạnh,Rớt bảng
Nhân sự - công ty - cung cấp,8,6,5,3,7,09/08,-4,12.0,2,1
Nhân sự - dịch vụ,4,3,3,0,4,21/08,-4,14.0,0,3
Nhân sự - công ty - tuyển dụng - ENG,5,2,3,0,3,29/08,-3,11.0,0,3
Headhunter - công ty - ENG,5,2,2,0,2,17/09,-2,20.67,1,2
Nhân sự - công ty - tư vấn,2,1,2,0,2,29/08,-2,,0,2
Nhân sự - dịch vụ - làm bảng lương - ENG,4,3,4,2,4,21/08,-2,8.25,0,0
Nhân sự - dịch vụ - thuê ngoài,11,8,7,6,8,29/08,-2,12.89,1,2
Nhân sự - thể loại - thuê ngoài-  công ty,3,3,2,1,3,17/09,-2,10.67,1,0
Headhunter - báo giá,2,2,2,1,2,16/09,-1,3.0,0,1
Headhunter - thông tin,5,2,1,1,2,17/09,-1,15.0,0,0
Headhunter - top công ty - ENG,2,1,0,0,1,09/08,-1,31.0,0,1
Nhân sự - công ty - thuê ngoài - ENG,4,1,2,2,3,14/09,-1,14.5,0,0
Nhân sự - dịch vụ - cung cấp,3,1,1,1,2,09/08,-1,21.33,0,0
Nhân sự - dịch vụ - tuyển dụng - cấp cao,2,0,0,0,1,14/09,-1,12.5,0,0
Nhân sự - dịch vụ - tính lương,2,1,0,0,1,21/08,-1,14.0,0,0
Nhân sự -quản  lý - hệ thóng,1,0,0,0,1,29/08,-1,,0,1
Headhunter - công ty,6,1,1,1,1,18/09,0,14.2,1,1
Headhunter - công ty VN - ENG,1,0,0,0,0,18/09,0,19.0,0,0
Headhunter - dịch vụ,2,0,1,1,1,18/09,0,17.5,1,0
Headhunter - thông tin - so sánh - headhunter & recruiter,2,2,2,2,2,18/09,0,4.0,0,0
Nhân sự - công ty - cung ứng,3,0,0,0,0,18/09,0,,0,1
Nhân sự - công ty - cung ứng - thời vụ,1,0,0,0,0,18/09,0,,0,0
Nhân sự - dịch vụ - gói tính lương,1,0,0,1,1,18/09,0,2.0,0,0
Nhân sự - dịch vụ - làm bảng lương,4,3,2,3,3,18/09,0,12.5,0,0
Nhân sự - dịch vụ - quản lý,1,0,0,0,0,18/09,0,,0,1
Nhân sự - dịch vụ - quản trị,1,1,1,1,1,18/09,0,3.0,0,0
Nhân sự - dịch vụ - thuê ngoài - Định nghĩa,2,2,2,2,2,18/09,0,3.0,0,0
Nhân sự - dịch vụ - tuyển dụng,2,0,0,0,0,18/09,0,25.0,0,1
Nhân sự - dịch vụ - tuyển dụng - ENG,2,0,0,0,0,18/09,0,38.0,0,1
Nhân sự - dịch vụ - tính lương - ENG,3,0,0,1,1,18/09,0,11.5,0,1
Nhân sự - hợp đồng - thuê ngoài,1,1,1,1,1,18/09,0,3.0,0,0
Nhân sự - kế hoạch - nguồn nhân lực,1,1,1,1,1,18/09,0,6.0,0,0
Nhân sự - phần mềm - tính lương - ENG,1,1,1,1,1,18/09,0,6.0,0,0
Nhân sự - so sánh - outsource & staffing,1,1,1,1,1,18/09,0,2.0,0,0
Nhân sự - thể loại - cấp cao,1,1,1,1,1,18/09,0,1.0,0,0
Nhân sự - thể loại - cấp cao - quy trình tuyển dụng,1,1,1,1,1,18/09,0,3.0,0,0
Nhân sự - tính lương - bảo mật,1,1,1,1,1,18/09,0,1.0,0,0
Nhân sự - tính lương - cách tính,1,1,1,1,1,18/09,0,2.0,0,0
Nhân sự - tính lương - cách tính hộ,1,0,1,1,1,18/09,0,1.0,0,0
Nhân sự - tính lương - phần mềm,1,0,0,0,0,18/09,0,20.0,0,0
Thương hiệu,5,5,5,5,5,18/09,0,1.0,0,0

"PHƯƠNG ÁN — chốt: SỬA, không đợi",Vì sao,Ai làm,Bao giờ,Đo bằng gì
1. Khai bổ sung toàn bộ trang dịch vụ và trang chủ tiếng Việt vào sitemap,"KHÔNG trang /vi/dich-vu/ nào có trong sitemap, kể cả /vi/. 17 từ khóa nhắm vào các trang này. Sitemap khai /vi/trang-chu/ - địa chỉ chuyển hướng 301.",Đội quản trị web,Tuần này,Search Console > Sơ đồ trang
"2. Bỏ 2 dòng chặn tham số trong robots.txt, chuyển hướng 301 URL tham số về URL sạch",robots.txt có sẵn Disallow /*?gov=* và /*?edu=* - dấu vết từng bị bắn spam tham số. Chặn kiểu này khiến Google không đọc được thẻ canonical.,Đội quản trị web,Tuần này,Search Console > Trang
3. Rà lại cụm tư vấn & dịch vụ nhân sự - 6 từ khóa bay khỏi bảng trọn cụm,"tư vấn nhân sự (260), dịch vụ nhân sự (210), công ty tư vấn nhân sự, dịch vụ tư vấn nhân sự, công ty dịch vụ nhân sự, công ty cung cấp dịch vụ nhân sự - từ top 1-11 xuống mất hẳn trong đợt 29/8 đến 11/9.",Trang + đội nội dung,Tuần này,Vị trí 6 từ khóa trên serprobot
4. Sửa 33 từ khóa đang bắt SAI trang đích,33 từ khóa Google chọn trang khác với trang mình định nhắm. Trang bắt sai luôn yếu hơn trang làm đúng chủ đề.,Trang + đội nội dung,2 tuần,Cột Đúng/Sai trang đích ở FILE 2
