STT,Chủ đề,Nhóm từ khóa,Từ khóa,Volume,18/9,17/9,11/9,29/8,20/8,1/8,VỊ TRÍ LÚC CAO NHẤT,NGÀY ĐẠT CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT (số bậc đã mất),Vị trí TB,Giữ top (%),Số ngày Top10,Δ 18/9 vs 17/9,Δ 18/9 vs 20/8,Chênh đợt tụt 29/8→18/9,Trạng thái 18/9,Phân loại theo đợt tụt,Trang đang xếp hạng,Đúng/Sai trang đích,Nhận định
1,Headhunter,Headhunter - báo giá,báo giá dịch vụ headhunter,10,3,7,7,8,4,6,3,18/09,0,6.42,92.3,12,-4,-1,-5,Tăng nhẹ,Tăng mạnh trong đợt,/vi/tin-tuc/bao-gia-dich-vu-headhunter/,Đúng,Mình đang lên
2,Headhunter,Headhunter - báo giá,chi phí headhunter,70,,,3,3,3,2,2,01/08,MẤT HẲN,3.2,76.9,10,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/bao-gia-dich-vu-headhunter/,Đúng,Mất thứ hạng 18/9
3,Headhunter,Headhunter - công ty,các công ty headhunter hàng đầu việt nam,40,14,14,15,19,16,14,14,01/08,0,14.92,92.3,0,0,-2,-5,Đứng yên,Tăng mạnh trong đợt,/vi/tin-tuc/cong-ty-headhunter/,Đúng,Ổn định
4,Headhunter,Headhunter - công ty,các công ty headhunter hiện nay,70,12,11,15,,12,11,11,01/08,1,12.4,76.9,0,1,0,,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,Đúng,Ổn định
5,Headhunter,Headhunter - công ty,các công ty headhunter lớn ở việt nam,80,19,19,19,18,17,15,15,01/08,4,17.5,92.3,0,0,2,1,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,Đúng,Ổn định
6,Headhunter,Headhunter - công ty,các công ty headhunter tại tphcm,90,9,3,8,8,11,9,3,17/09,6,8.75,92.3,10,6,-2,1,Tụt mạnh,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,Đúng,Biến động thị trường
7,Headhunter,Headhunter - công ty,công ty headhunter,200,17,15,17,17,9,13,9,20/08,8,14.42,92.3,2,2,8,0,Tụt nhẹ,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,Đúng,Biến động thị trường
8,Headhunter,Headhunter - công ty,công ty săn đầu người,200,,,,,,,38,12/08,MẤT HẲN,38.0,7.7,0,,,,Rớt khỏi bảng theo dõi,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
9,Headhunter,Headhunter - công ty - ENG,head hunter in vietnam,10,,33,31,35,,32,31,11/09,MẤT HẲN,33.33,69.2,0,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,,Chưa từng xếp hạng,Mất thứ hạng 18/9
10,Headhunter,Headhunter - công ty - ENG,head hunter vietnam,10,30,37,38,,35,34,30,18/09,0,36.0,84.6,0,-7,-5,,Tăng mạnh,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,SAI - Google chọn trang khác,Mình đang lên
11,Headhunter,Headhunter - công ty - ENG,Headhunt agency,20,21,14,19,,23,20,14,17/09,7,18.89,69.2,0,7,-2,,Tụt mạnh,Gần như không đổi,/news/headhunt-agency/,Đúng,Biến động thị trường
12,Headhunter,Headhunter - công ty - ENG,headhunting agency,50,,4,8,17,5,3,2,16/09,MẤT HẲN,5.8,76.9,9,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,/news/headhunt-agency/,Đúng,Mất thứ hạng 18/9
13,Headhunter,Headhunter - công ty - ENG,headhunting agency vietnam,10,11,8,9,10,9,10,7,21/08,4,9.25,92.3,11,3,2,1,Tụt nhẹ,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/cong-ty-headhunter/,SAI - Google chọn trang khác,Biến động thị trường
