"TỔNG HỢP THEO NHÓM TỪ KHÓA — ĐỊNH HƯỚNG NỘI DUNG: BÀI NÀO LÊN TOP, BÀI CỦA MÌNH, BÀI NÀO RỚT"
"So mốc 21/08 với 18/09. Tiêu đề là tiêu đề thật, lấy trực tiếp từ trang (336/359 trang lấy được; số còn lại chặn bot nên để trống)."
"Kiểu nội dung do máy xếp từ tiêu đề + đường dẫn, không phải đọc hết bài. Dùng để nhìn xu hướng, không dùng làm kết luận tuyệt đối."

Chủ đề,Nhóm từ khóa,Số key,Số bài LÊN,Số bài RỚT,KIỂU CONTENT LÊN TOP,VÍ DỤ BÀI LÊN TOP (tiêu đề thật),CONTENT CỦA MÌNH (trang HR2B đang xếp hạng),KIỂU CONTENT CỦA MÌNH,KIỂU CONTENT RỚT TOP,VÍ DỤ BÀI RỚT TOP (tiêu đề thật),KEY HR2B LÊN,KEY HR2B TỤT,KEY ĐỨNG YÊN,KEY NGOÀI BẢNG,CHỐT NHÓM,KEY ĐÃ LÊN (tên),KEY ĐÃ TỤT (tên)
Headhunter,Headhunter - báo giá,2,5,5,Trang dịch vụ (chào bán) (3) · Báo giá / chi phí (2),"""Phí Headhunter: Cấu Trúc Fee Và Cách Thương Lượng Với Doanh Nghiệp - Talent Hu"" — talenthunter.asia | ""Dịch vụ Headhunter"" — vdbconsulting.vn | ""Chi Phí Tuyển Dụng Cấp Cao: Cách Tối Ưu Ngân Sách Headhunt"" — hr1vietnam.com","""Báo giá dịch vụ Headhunter 2026: Chi phí & cách tính"" — hr2b.com/vi/tin-tuc/bao-gia-dich-vu-headhunter/",Báo giá / chi phí,Báo giá / chi phí (3) · Thảo luận mạng xã hội (1),"""Báo giá dịch vụ Headhunter - Tuyển dụng nhân sự trọn gói"" — vieclam123.vn | ""Báo giá dịch vụ Headhunter 2026: Chi phí & cách tính"" — hr2b.com | ""Chi phí dịch vụ Headhunter: Đắt hay Rẻ? Góc nhìn từ hiệu quả dài hạn"" — nicvn.com",1,1,0,0,"GIẰNG CO: lên 1, tụt 1 — bằng nhau",báo giá dịch vụ headhunter,chi phí headhunter
Headhunter,Headhunter - công ty,6,8,10,"Tổng hợp / xếp hạng ""top công ty"" (4) · Khác / không rõ (3)","""Danh sách các Công ty Dịch vụ Headhunting Hàng Đầu"" — aniday.com | ""TOP 10 các công ty Headhunter tại TP.HCM uy tín và chất lượng"" — hr2b.com | ""Top 6 công ty có dịch vụ Headhunter uy tín hàng đầu Việt Nam"" — cloudoffice.com.vn","""TOP 10 các công ty Headhunter tại TP.HCM uy tín và chất lượn"" — hr2b.com/vi/tin-tuc/cong-ty-headhunter/","Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (9) · Giải nghĩa khái niệm ""… là gì"" (1)","""Top 10 công ty headhunt uy tín tại Việt Nam năm 2026 - DigiSource"" — digisource.vn | ""Vietnam Top Headhunters - Các công ty săn đầu người hàng đầu Việt Nam"" — careerviet.vn | ""Tuyển Dụng Việt Nam | HeadHunt Vietnam - Công Ty Tuyển Dụng Hàng Đầu"" — headhuntvietnam.com",2,3,0,1,"MẤT ĐẤT: tụt 3/6 key, chỉ lên 2. Nhóm cần xem lại trước","các công ty headhunter hàng đầu việt nam, các công ty headhunter tại tphcm","các công ty headhunter hiện nay, các công ty headhunter lớn ở việt nam, công ty headhunter"
Headhunter,Headhunter - công ty - ENG,5,8,9,Trang chủ thương hiệu (3) · Khác / không rõ (2),"""10+ công ty headhunter uy tín nhất tại Việt Nam hiện nay"" — govigroup.com | ""Danh sách Các công ty headhunter tại TPHCM hàng đầu 2026."" — cnk-consulting.com.vn | ""Facebook"" — facebook.com","""TOP 10 reputable and quality headhunt agency in Vietnam"" — hr2b.com/news/headhunt-agency/ | ""TOP 10 các công ty Headhunter tại TP.HCM uy tín và chất lượn"" — hr2b.com/vi/tin-tuc/cong-ty-headhunter/","Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (5) · Khác / không rõ (1)","""10+ công ty headhunter uy tín nhất tại Việt Nam hiện nay"" — govigroup.com | ""Top 6 công ty có dịch vụ Headhunter uy tín hàng đầu Việt Nam"" — cloudoffice.com.vn | ""Headhunt Vietnam | Headhunters in Asia"" — headhuntersinasia.com",1,2,0,2,"MẤT ĐẤT: tụt 2/5 key, chỉ lên 1. Nhóm cần xem lại trước",head hunter vietnam,"Headhunt agency, headhunting agency vietnam"
Headhunter,Headhunter - công ty VN - ENG,1,0,0,,,"""Top 6 headhunter companies in Vietnam for executive recruitm"" — hr2b.com/news/headhunter-company-in-vietnam/","Tổng hợp / xếp hạng ""top công ty""",,,0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Headhunter,Headhunter - dịch vụ,2,5,5,"Giải nghĩa khái niệm ""… là gì"" (4) · Tổng hợp / xếp hạng ""top công ty"" (1)","""Glints - Firewall"" — glints.com | ""Headhunter là gì? Phân biệt Headhunter và HR"" — pace.edu.vn | ""Headhunter là gì? Vai trò và cách hoạt động của headhunter - DigiSource"" — digisource.vn","""Báo giá dịch vụ Headhunter 2026: Chi phí & cách tính"" — hr2b.com/vi/tin-tuc/bao-gia-dich-vu-headhunter/ | ""Headhunter là gì? Phân biệt Headhunter và HR trong tuyển dụn"" — hr2b.com/vi/tin-tuc/headhunter-la-gi/","Báo giá / chi phí · Giải nghĩa khái niệm ""… là gì""","Giải nghĩa khái niệm ""… là gì"" (4) · Trang dịch vụ (chào bán) (1)","""Xu hướng mới trong thị trường lao động và tuyển dụng năm 2022"" — manpower.com.vn | ""Headhunter là gì? Giải mã A-Z dịch vụ săn đầu người"" — cnk-consulting.com.vn | ""Tại Sao Nên Sử Dụng Dịch Vụ Headhunter Tại SKALE? - SKALE - Nền tảng công nghệ"" — skale.asia",1,1,0,0,"GIẰNG CO: lên 1, tụt 1 — bằng nhau",dịch vụ headhunter,dịch vụ headhunter là gì
Headhunter,Headhunter - thông tin,5,11,11,"Giải nghĩa khái niệm ""… là gì"" (8) · Thảo luận mạng xã hội (1)","""Headhunter là gì? Làm gì để trở thành headhunter doanh nghiệp nào cũng cần"" — vieclam24h.vn | ""Headhunter là gì? Công việc, quy trình tuyển dụng và sự khác biệt với HR"" — easyhrm.vn | ""HEADHUNTER LÀ GÌ? BÍ QUYẾT ""THỢ SĂN ĐẦU NGƯỜI"" CHO DOANH NGHIỆP - LinkPower"" — linkpower.vn","""Headhunter là gì? Phân biệt Headhunter và HR trong tuyển dụn"" — hr2b.com/vi/tin-tuc/headhunter-la-gi/ | ""Headhunter, Recruiter là gì? So sánh Headhunter và Recruiter"" — hr2b.com/vi/tin-tuc/headhunter-va-recruiter/","Giải nghĩa khái niệm ""… là gì""","Giải nghĩa khái niệm ""… là gì"" (6) · So sánh / phân biệt (2)","""Headhunter Là Gì Khám Phá Cách Tìm Kiếm Nhân Tài Hiệu Quả"" — careerlink.vn | ""Headhunter là gì? Giải mã A-Z dịch vụ săn đầu người"" — cnk-consulting.com.vn | ""Headhunter là gì? ""Săn đầu người"" chuyên nghiệp cho doanh nghiệp"" — base.vn",0,2,3,0,"MẤT ĐẤT: tụt 2/5 key, chỉ lên 0. Nhóm cần xem lại trước",,"headhunter và hr khác nhau như thế nào, nghề headhunter"
Headhunter,Headhunter - thông tin - so sánh - headhunter & recruiter,2,2,2,Thảo luận mạng xã hội (1) · So sánh / phân biệt (1),"""Phân biệt Headhunter và Recruiter? Headhunter và Recruiter khác nhau như thế n"" — aniday.com","""Headhunter, Recruiter là gì? So sánh Headhunter và Recruiter"" — hr2b.com/vi/tin-tuc/headhunter-va-recruiter/","Giải nghĩa khái niệm ""… là gì""","Giải nghĩa khái niệm ""… là gì"" (1) · Thảo luận mạng xã hội (1)","""Headhunt là gì? Phân biệt giữa Headhunter / Recruiter và các vấn đề HR liên qu"" — headhuntvietnam.com",1,0,1,0,"GIỮ ĐƯỢC: lên 1/2 key, tụt 0. Hướng nội dung đang đúng",phân biệt headhunter và recruiter,
Headhunter,Headhunter - top công ty - ENG,2,1,1,Khác / không rõ (1),"""Top Headhunter Chuyên Nghiệp 2026"" — aniday.com","""TOP 10 reputable and quality headhunt agency in Vietnam"" — hr2b.com/news/headhunt-agency/ | ""TOP 10 các công ty Headhunter tại TP.HCM uy tín và chất lượn"" — hr2b.com/vi/tin-tuc/cong-ty-headhunter/","Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (1)","""Top 6 công ty có dịch vụ Headhunter uy tín hàng đầu Việt Nam"" — cloudoffice.com.vn",0,2,0,0,"MẤT ĐẤT: tụt 2/2 key, chỉ lên 0. Nhóm cần xem lại trước",,"top 10 headhunter in vietnam, top headhunter in vietnam"
Nhân sự,Nhân sự - công ty - cung cấp,8,17,16,"Trang dịch vụ (chào bán) (7) · Tổng hợp / xếp hạng ""top công ty"" (6)","""Dịch vụ cung ứng nhân lực uy tín cho doanh nghiệp - Vin HR Corporation"" — vinhrgroup.com | ""11 Công ty cung ứng lao động tại TPHCM chất lượng hàng đầu - Sài Gòn Review"" — saigonreview.vn | ""Cung Ứng Nhân Lực Thời Vụ - NHÂN LỰC THANH NIÊN"" — nhanlucthanhnien.com","""Top 10 công ty cung ứng nhân sự uy tín tại Việt Nam 2026"" — hr2b.com/vi/tin-tuc/cong-ty-cung-ung-nhan-su/","Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (8) · Khác / không rõ (3)","""Top 15 công ty cho thuê lao động TP.HCM và các khu vực lân cận"" — l-a.com.vn | ""Top 10 công ty dịch vụ thuê ngoài nhân sự uy tín Việt Nam"" — hr2b.com | ""Cung ứng lao động & Cung ứng nhân lực uy tín chất lượng HCM và các tỉnh lân cậ"" — bocxeptphcm.com",1,3,3,1,"MẤT ĐẤT: tụt 3/8 key, chỉ lên 1. Nhóm cần xem lại trước",công ty chuyên cung cấp nhân sự,"cty cung ứng nhân lực, cung ứng nhân sự, công ty cung cấp dịch vụ nhân sự"
Nhân sự,Nhân sự - công ty - cung ứng,3,4,4,"Tổng hợp / xếp hạng ""top công ty"" (2) · Khác / không rõ (2)","""Top 11 Công ty cung ứng lao động tại TPHCM uy tín - topAZ Review"" — topaz.vn | ""Cung ứng lao động tại Hà Nội - Misa Group"" — misagroupvn.com | ""[2025] Điều kiện, thủ tục thành lập công ty cung ứng nhân lực"" — dangkykinhdoanhnhanh.com",,,"Giải nghĩa khái niệm ""… là gì"" (1) · Khác / không rõ (1)","""# ​Cung ứng nhân lực là gì? Các yếu tố ảnh hưởng tới cung ứng nhân lực # Nền t"" — vn.joboko.com | ""Thủ tục & điều kiện cần để thành lập công ty cung ứng lao động"" — ketoananpha.vn | ""Điều kiện & thủ tục thành lập công ty cung ứng nhân lực"" — luattanhoang.com",0,0,0,3,Cả nhóm nằm ngoài bảng theo dõi ở cả hai mốc — chưa đánh giá được,,
